Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,6.607423731945082,0,0.02201907666672885,232.71325419490697,32.092779096733324,0,0.00883973897936834,334.2190520304248,73.43738692908664,1,0.0070975418430318975,312.8373025905217,41.072397369722175,0,0.0003332947214889946,308.29131334010225
August,1,0:30,5.062180148345499,0,0.02846540698068465,232.57055899758657,23.18144332078964,0,0.0009731936058293235,313.14384343645185,56.432635680863704,1,0.009074084857680078,310.03322268910284,28.883554038402295,0,0.00046038538348430795,331.8693598486777
August,1,1:00,3.939868973525277,0,0.03113161729515843,322.40110941180006,10.305332741288556,0,0.0027445639726410916,370.9319530622171,42.16003831830009,0,0.0052040967757406645,315.06952518560195,22.18228055997969,0,0.00028584349897447316,395.06083757061145
August,1,1:30,2.8687335095087914,0,0.02333943296017721,348.4643820320443,5.9122249300829885,0,0.0039393008094033444,402.24711852669805,31.637101977220436,0,0.0011456997398102786,317.8392245022672,15.34518471832091,0,0.0006113716437301908,382.130060245244
August,1,2:00,2.473194885463438,0,0.0038766702019016946,323.5311642723892,4.5247012912506746,0,0.00017176502845965008,353.23292622504135,22.453016603482496,0,0.002076772773183885,330.2196485538203,10.655857679068765,0,0.0017838276628730132,380.56161870225236
August,1,2:30,2.434806965302032,0,0.00289663610121825,342.30784607904445,3.6861951559255863,0,4.761852517782391e-05,383.73287842877124,19.262005385072722,0,0.0014336882181800745,322.8532408253324,7.74900193151959,0,0.0003624490364921097,416.452369641351
August,1,3:00,2.2904938918198514,0,0.0015655789909589156,301.732272716079,3.3253282012061356,0,1.0790979517397074e-05,365.3033137639186,14.01630712585129,0,0.0035373349382228888,309.9871551909403,2.415045029255148,0,0.0005399013929483484,460.4524696741587
August,1,3:30,2.2646903827110973,0,0.000231707176081817,282.4431219519106,3.28979463002042,0,1.1241431412756418e-05,319.87468807192425,13.659714286307235,0,0.00044237875074104214,337.06619206464,1.657677526536927,0,0.00048807731947051136,314.4726334873432
August,1,4:00,1.842274067148433,0,0.00030383947642173955,280.3202965682709,2.830089805182351,0,0.0002383328630267997,304.04245842990304,13.393277248772906,0,0.0014544817423914297,411.6865105626786,1.5750557406501375,0,0.0005964653957158388,370.8855575070372
August,1,4:30,1.842274067148433,0,0.00032548530360488134,248.2391429562558,2.870340742389655,0,0.0008586164971759628,287.3088487983332,13.142463251180633,0,0.0016190869359388454,382.6342432006868,1.6574918860487975,0,0.0013666688361912917,283.1940647653144
August,1,5:00,2.308824162530631,0,0.00046758003678539514,331.0647615017078,2.936589587493549,0,0.0009284100000135387,317.32658382274195,14.766002237158848,0,0.0008875373217967699,339.39463043337753,1.5915442329693057,0,0.001116371554053773,292.3028350696326
August,1,5:30,3.6542049013915605,0,0.0004639667191450376,358.5165344809657,3.3484388377755043,0,0.003084425606139225,306.94231377351593,16.463209408678185,0,0.0017073153739274795,252.56538947450406,1.5982824370813258,0,0.00042639860884149516,458.53673981299823
August,1,6:00,4.557572101218125,0,0.06259851783063448,290.64099951673046,4.52918663718594,0,0.021650427237298566,351.8247164923589,23.489770667685953,0,0.002297372254784707,274.9124016246006,8.980708024348111,0,0.004840758878802415,244.31857968866098
August,1,6:30,5.8579379524310085,2,0.2676026474804459,303.2593263764768,7.233918328927007,2,0.22056647131232185,327.3760004412401,43.40570780983792,0,0.006562090121584455,254.5833659321223,16.775917125627856,0,0.01033116570416875,278.3286851093578
August,1,7:00,11.672158173053854,2,0.16336547796584908,290.9005326322279,27.160863697090452,1,0.028370278586912375,299.4759734155152,83.27766161692347,0,0.004382952416708648,260.79842487301516,30.850641474840554,0,0.005828360312251083,252.84574722688714
August,1,7:30,20.181472768632293,2,0.09832898147076306,278.27071101061875,44.90957315191603,1,0.03213527681155976,291.36470882408395,118.68907934268283,1,0.005037041943203595,268.3746935522168,51.434967262818674,0,0.004881941080905374,261.4681592743724
August,1,8:00,55.42278764419559,1,0.016464544789984527,255.33994995535068,88.1104575573155,0,0.0035309837174632287,293.1301731375112,192.15508350274203,1,0.00285104589911075,288.4486709357562,82.42581178195954,0,0.001995733198065542,280.09580596362053
August,1,8:30,86.13125924805219,2,0.024059451217237685,290.28243281653874,131.37194273694382,1,0.006847240123679841,309.9695748989704,282.9140011953744,1,0.0029723446932092548,287.6150463877837,155.21111037780707,0,0.002362857342598814,283.44400256940946
August,1,9:00,127.6737662475052,1,0.011702362006067437,303.3328432856087,191.96558140255405,1,0.003230306411119359,321.4473235142318,390.36419723137976,1,0.0037355289350052244,298.28082598597143,188.15743826847913,0,0.0021134518248600914,306.36505748921826
