Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,11.65,1,0.05771,361.64,78.82,2,0.024707,299.33,133.32,1,0.011036,319.69,82.34,2,0.01847,303.66
August,1,0:30,9.99,0,0.003462,386.83,46.92,0,0.004017,322.98,102.69,0,0.002828,320.7,53.06,0,0.00786,317.12
August,1,1:00,8.32,0,0.048182,371.55,18.77,1,0.068173,393.99,68.46,1,0.015135,310.59,42.08,0,0.00301,320.93
August,1,1:30,3.33,0,0.081818,275.36,11.26,1,0.047569,299.34,64.86,1,0.015136,330.33,31.11,0,0.011415,313.66
August,1,2:00,3.33,0,0.105,474.15,11.26,0,0.042858,337.94,37.83,1,0.033989,317.15,21.96,0,0.020632,326.52
August,1,2:30,4.99,0,0.0,399.45,5.63,0,0.0,340.01,27.02,0,0.001282,341.8,14.64,0,0.00392,373.83
August,1,3:00,1.66,0,0.0,309.59,7.51,0,0.0,320.54,25.22,1,0.041868,354.07,5.49,0,0.013636,438.07
August,1,3:30,1.66,0,0.0,610.74,3.75,0,0.0,152.98,23.42,0,0.000641,295.04,1.83,0,0.0,233.0
August,1,4:00,1.66,0,0.0,244.13,3.75,0,0.0,289.17,21.62,0,0.005537,375.09,0.0,0,0.0,1762.67
August,1,4:30,1.66,0,0.0,183.24,3.75,0,0.0125,304.88,19.82,0,0.016273,298.48,1.83,0,0.0,760.75
August,1,5:00,1.66,0,0.0,408.33,5.63,0,0.0,260.05,23.42,0,0.0,445.44,1.83,0,0.0,215.12
August,1,5:30,1.66,0,0.0,187.35,5.63,0,0.0,256.68,28.83,0,0.0,306.59,1.83,0,0.0,357.24
August,1,6:00,3.33,0,0.02,264.98,5.63,0,0.002777,396.88,41.44,0,0.002259,277.86,18.3,1,0.029314,254.78
August,1,6:30,4.99,1,0.199459,287.52,13.14,4,0.278007,369.46,66.66,1,0.011909,266.28,29.28,2,0.06007,295.79
August,1,7:00,11.65,1,0.092742,254.9,20.64,1,0.025495,286.55,115.3,1,0.007806,273.84,49.4,1,0.018724,255.16
August,1,7:30,24.97,2,0.09719,303.19,41.29,0,0.008661,310.99,176.56,3,0.01457,265.2,78.68,2,0.021051,284.72
August,1,8:00,53.28,1,0.014927,250.17,65.68,1,0.013686,294.66,308.07,2,0.006676,270.12,128.08,1,0.004442,281.24
August,1,8:30,81.58,1,0.006876,277.52,80.7,2,0.026947,304.74,463.01,7,0.014161,292.79,197.61,1,0.007457,268.71
August,1,9:00,126.54,1,0.007272,278.22,202.68,3,0.012594,281.38,616.15,4,0.006787,291.09,287.27,4,0.01432,281.31
August,1,9:30,139.86,2,0.01568,271.92,272.12,5,0.018333,304.56,744.06,26,0.035271,310.07,364.12,10,0.02774,272.74
August,1,10:00,181.48,2,0.010315,293.24,337.8,8,0.022572,305.36,918.82,12,0.013262,308.88,420.84,11,0.0253,287.46
August,1,10:30,216.45,2,0.010116,293.77,397.86,18,0.044601,314.99,1048.53,12,0.011896,321.32,488.55,29,0.05959,290.52
August,1,11:00,261.4,3,0.013007,299.43,450.41,12,0.026763,319.28,1127.8,18,0.015646,323.9,537.95,16,0.029506,298.63
August,1,11:30,244.75,5,0.019513,291.15,512.34,19,0.038038,325.33,1160.23,35,0.02981,330.33,587.35,13,0.022503,300.57
August,1,12:00,274.72,10,0.037501,300.55,532.98,12,0.022204,321.77,1185.45,26,0.021541,329.89,605.65,9,0.014542,307.46
August,1,12:30,289.71,17,0.059227,305.82,551.75,19,0.034174,319.9,1196.26,35,0.029089,329.17,636.76,23,0.036033,300.35
August,1,13:00,278.05,4,0.015504,306.67,553.62,26,0.047541,323.89,1162.03,28,0.023908,332.99,640.42,23,0.036017,309.91
August,1,13:30,274.72,2,0.005915,311.36,596.79,34,0.057504,318.56,1181.85,55,0.046395,331.01,647.73,24,0.036957,304.81
August,1,14:00,268.06,3,0.012082,315.21,617.43,41,0.066749,326.96,1180.05,38,0.032335,335.5,622.12,15,0.024017,303.74
August,1,14:30,281.38,7,0.025208,311.25,604.29,31,0.050923,332.6,1172.84,23,0.019961,329.66,645.9,39,0.05998,312.79
August,1,15:00,268.06,3,0.009914,305.95,615.55,19,0.030184,321.81,1107.98,4,0.003687,338.4,625.78,14,0.022464,297.73
August,1,15:30,274.72,3,0.009747,308.68,596.79,13,0.022177,317.2,1080.96,2,0.001706,335.68,587.35,8,0.013766,296.15
August,1,16:00,269.73,2,0.008374,321.48,604.29,9,0.015187,328.82,1035.92,2,0.002248,335.51,561.74,7,0.013233,310.0
August,1,16:30,231.43,1,0.004993,296.51,583.65,8,0.013658,337.43,942.24,1,0.001458,332.92,514.16,5,0.009784,304.75
August,1,17:00,214.78,6,0.027317,306.53,527.35,4,0.007953,330.84,871.97,3,0.003323,336.04,486.72,4,0.00831,305.81
August,1,17:30,184.81,5,0.02621,318.88,510.46,7,0.014584,333.53,864.77,2,0.00255,332.26,448.29,2,0.003828,305.59
August,1,18:00,191.47,3,0.016333,320.11,452.28,14,0.030285,343.01,796.31,3,0.004202,328.57,422.67,2,0.005009,305.5
August,1,18:30,153.18,2,0.01426,334.17,416.62,12,0.029105,329.56,747.66,6,0.007817,339.95,389.74,1,0.003129,323.51
August,1,19:00,116.55,1,0.009622,321.13,369.71,11,0.030458,329.95,662.99,11,0.016138,328.68,380.59,2,0.005909,315.79
August,1,19:30,86.58,1,0.013247,331.16,324.67,7,0.021286,313.08,617.95,26,0.041869,326.19,320.21,2,0.00633,321.0
August,1,20:00,74.92,2,0.028239,300.31,289.01,20,0.068259,319.48,540.48,19,0.034642,334.68,278.12,4,0.014347,304.61
August,1,20:30,61.6,4,0.057247,275.72,262.74,8,0.030182,304.6,464.81,9,0.018695,328.58,261.66,3,0.011843,296.52
August,1,21:00,41.62,2,0.048054,296.27,200.81,8,0.038568,306.19,394.55,5,0.013828,328.0,219.57,8,0.035369,302.11
August,1,21:30,34.96,1,0.042633,297.1,172.66,3,0.019551,304.95,309.88,2,0.005059,330.08,184.81,2,0.010012,310.03
August,1,22:00,23.31,0,0.016112,364.23,138.87,4,0.027493,297.7,268.44,1,0.004868,322.09,157.36,1,0.005384,295.68
August,1,22:30,16.65,2,0.097243,305.03,123.86,2,0.017056,316.69,221.6,1,0.003492,319.64,133.57,1,0.005008,301.93
August,1,23:00,16.65,2,0.098361,332.33,95.71,2,0.02509,289.28,167.55,0,0.002477,309.68,107.96,0,0.001236,299.49
August,1,23:30,11.65,0,0.006468,259.56,71.31,1,0.011485,294.57,140.52,0,0.001301,314.49,84.17,1,0.008337,282.47
August,2,0:00,7.72,0,0.063333,466.65,59.49,2,0.038452,272.05,95.32,1,0.009482,294.19,66.48,0,0.006807,279.74
August,2,0:30,7.72,1,0.144872,396.29,44.62,2,0.041842,273.13,70.61,1,0.007821,333.96,46.17,0,0.000769,293.25
August,2,1:00,7.72,1,0.081944,388.54,19.12,0,0.003162,368.51,58.25,1,0.015444,297.22,36.93,0,0.007716,301.91
August,2,1:30,7.72,0,0.038636,363.83,14.87,0,0.013553,309.58,44.13,0,0.00916,281.89,27.7,0,0.005294,357.36
August,2,2:00,2.57,0,0.0,157.29,10.62,0,0.003077,353.04,31.77,1,0.033682,302.69,24.01,0,0.01165,330.04
August,2,2:30,2.57,0,0.0,395.83,6.37,0,0.0,317.01,22.95,1,0.037255,320.24,16.62,1,0.049634,381.05
August,2,3:00,5.15,0,0.0,286.77,12.75,0,0.0,383.22,28.24,1,0.050738,322.37,7.39,0,0.064394,381.98
August,2,3:30,2.57,0,0.0,550.7,4.25,0,0.0,266.67,15.89,0,0.001183,397.15,1.85,0,0.0,208.3
August,2,4:00,2.57,0,0.0,302.33,4.25,0,0.0,258.81,17.65,0,0.0,411.28,0.0,0,0.0,125.67
August,2,4:30,2.57,0,0.0,294.8,4.25,0,0.0,367.75,12.36,0,0.0,371.21,0.0,0,0.0,236.67
August,2,5:00,0.0,0,0.0,179.0,4.25,0,0.0,490.79,19.42,0,0.001982,358.85,1.85,0,0.0,335.72
August,2,5:30,5.15,0,0.0,308.59,4.25,0,0.04,280.63,19.42,0,0.008302,277.0,1.85,0,0.0,395.0
August,2,6:00,7.72,0,0.003703,236.89,4.25,0,0.0,407.12,33.54,0,0.007194,268.0,9.23,0,0.039872,246.69
August,2,6:30,5.15,0,0.0,268.25,10.62,0,0.0,293.14,42.37,1,0.021904,249.91,20.31,0,0.020525,277.0
August,2,7:00,12.86,0,0.0,289.54,12.75,0,0.0,285.01,67.08,0,0.002027,268.74,33.24,0,0.003761,292.21
August,2,7:30,15.44,0,0.018407,362.18,21.25,1,0.025223,284.75,98.85,1,0.006879,255.11,55.4,1,0.010657,278.7
August,2,8:00,28.3,1,0.019241,247.57,36.12,0,0.007118,267.17,158.87,0,0.002291,265.33,88.64,1,0.011511,289.47
August,2,8:30,41.16,0,0.004808,279.38,50.99,0,0.008464,297.73,229.48,1,0.003359,281.52,110.8,0,0.0027,298.31
August,2,9:00,51.45,0,0.001923,272.9,118.98,1,0.005102,291.17,301.85,1,0.001712,292.28,168.04,3,0.016629,295.96
August,2,9:30,54.02,0,0.0029,298.7,152.97,0,0.001568,305.42,361.87,1,0.002005,286.0,203.13,2,0.00829,272.33
August,2,10:00,59.17,0,0.000335,288.09,180.59,1,0.00769,294.8,473.08,1,0.003112,288.21,225.29,4,0.017976,287.26
August,2,10:30,90.04,0,0.000684,275.02,201.84,3,0.017288,313.97,550.75,3,0.00463,295.47,295.46,18,0.062172,302.12
August,2,11:00,77.18,0,0.003092,289.4,223.08,3,0.012058,309.3,617.83,2,0.003823,310.48,325.01,7,0.020514,288.74
August,2,11:30,87.47,0,0.004451,297.52,284.7,5,0.018678,301.91,656.66,10,0.014623,310.19,334.24,4,0.011941,295.84
August,2,12:00,136.35,1,0.00624,289.54,297.45,5,0.01748,303.52,709.62,2,0.003374,307.25,361.94,5,0.013468,289.69
August,2,12:30,159.5,3,0.01636,297.11,342.06,9,0.025873,308.33,716.68,5,0.006746,305.1,352.7,3,0.009254,288.42
August,2,13:00,195.52,7,0.034757,301.6,378.18,6,0.015371,291.74,773.17,9,0.011774,319.62,391.48,7,0.017075,297.37
August,2,13:30,213.52,3,0.015882,285.93,410.05,8,0.02053,297.18,746.69,20,0.027234,317.27,391.48,7,0.017453,302.59
August,2,14:00,221.24,2,0.009076,297.89,433.42,6,0.014633,306.3,769.64,11,0.01462,321.41,391.48,4,0.010378,303.07
August,2,14:30,223.81,6,0.028148,295.96,420.67,4,0.009991,307.22,796.11,3,0.003405,311.98,393.33,7,0.017748,291.44
