timestamp,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,hour,day_of_week,month_num,interval_index,cv_lag_1,abd_lag_1,cct_lag_1,cv_lag_2,abd_lag_2,cct_lag_2,cv_lag_48,abd_lag_48,cct_lag_48,cv_lag_96,abd_lag_96,cct_lag_96,cv_lag_336,abd_lag_336,cct_lag_336,cv_roll_mean_3,cv_roll_mean_48,abd_roll_mean_3,cct_roll_mean_3,is_weekend,date
2025-04-08 00:00:00,April,8,2025-04-08 00:00:00,100.0,51.0,0.0,0.0,296.73,0,1,4,0,75.0,0.0,363.63,86.0,0.0,341.45,34.0,0.0,224.94,34.0,0.029411764705882353,268.97,30.0,0.0,306.0,,,,,0,2025-04-08
2025-04-08 00:30:00,April,8,2025-04-08 00:30:00,100.0,29.0,0.0,0.0,346.83,0,1,4,1,51.0,0.0,296.73,75.0,0.0,363.63,25.0,0.0,258.24,24.0,0.0,325.46,29.0,0.0,353.14,,,,,0,2025-04-08
2025-04-08 01:00:00,April,8,2025-04-08 01:00:00,100.0,25.0,0.0,0.0,372.52,1,1,4,2,29.0,0.0,346.83,51.0,0.0,296.73,15.0,0.0,376.07,17.0,0.058823529411764705,392.56,25.0,0.0,373.76,,,,,0,2025-04-08
2025-04-08 01:30:00,April,8,2025-04-08 01:30:00,100.0,20.0,0.0,0.0,340.65,1,1,4,3,25.0,0.0,372.52,29.0,0.0,346.83,9.0,0.0,517.11,16.0,0.0,350.88,9.0,0.0,364.44,35.0,,0.0,338.6933333333333,0,2025-04-08
2025-04-08 02:00:00,April,8,2025-04-08 02:00:00,100.0,12.0,0.0,0.0,187.25,2,1,4,4,20.0,0.0,340.65,25.0,0.0,372.52,10.0,0.0,319.6,7.0,0.0,430.71,4.0,0.0,276.25,24.666666666666668,,0.0,353.3333333333333,0,2025-04-08
2025-04-08 02:30:00,April,8,2025-04-08 02:30:00,100.0,11.0,0.0,0.0,357.0,2,1,4,5,12.0,0.0,187.25,20.0,0.0,340.65,8.0,0.0,271.25,8.0,0.0,303.13,9.0,0.0,300.78,19.0,,0.0,300.14000000000004,0,2025-04-08
2025-04-08 03:00:00,April,8,2025-04-08 03:00:00,100.0,2.0,0.0,0.0,214.0,3,1,4,6,11.0,0.0,357.0,12.0,0.0,187.25,6.0,0.16666666666666666,351.6,2.0,0.5,261.0,3.0,0.0,218.33,14.333333333333334,,0.0,294.9666666666667,0,2025-04-08
2025-04-08 03:30:00,April,8,2025-04-08 03:30:00,100.0,0.0,0.0,0.0,214.0,3,1,4,7,2.0,0.0,214.0,11.0,0.0,357.0,2.0,0.0,229.0,0.0,0.0,261.0,0.0,0.0,218.33,8.333333333333334,,0.0,252.75,0,2025-04-08
2025-04-08 04:00:00,April,8,2025-04-08 04:00:00,100.0,0.0,0.0,0.0,214.0,4,1,4,8,0.0,0.0,214.0,2.0,0.0,214.0,2.0,0.0,123.0,0.0,0.0,261.0,0.0,0.0,218.33,4.333333333333333,,0.0,261.6666666666667,0,2025-04-08
2025-04-08 04:30:00,April,8,2025-04-08 04:30:00,100.0,0.0,0.0,0.0,214.0,4,1,4,9,0.0,0.0,214.0,0.0,0.0,214.0,2.0,0.0,158.0,0.0,0.0,261.0,0.0,0.0,218.33,0.6666666666666666,,0.0,214.0,0,2025-04-08
2025-04-08 05:00:00,April,8,2025-04-08 05:00:00,100.0,0.0,0.0,0.0,214.0,5,1,4,10,0.0,0.0,214.0,0.0,0.0,214.0,3.0,0.0,618.67,0.0,0.0,261.0,1.0,0.0,172.0,0.0,,0.0,214.0,0,2025-04-08
2025-04-08 05:30:00,April,8,2025-04-08 05:30:00,100.0,0.0,0.0,0.0,214.0,5,1,4,11,0.0,0.0,214.0,0.0,0.0,214.0,3.0,0.0,516.67,0.0,0.0,261.0,0.0,0.0,172.0,0.0,,0.0,214.0,0,2025-04-08
2025-04-08 06:00:00,April,8,2025-04-08 06:00:00,100.0,11.0,0.0,0.0,221.0,6,1,4,12,0.0,0.0,214.0,0.0,0.0,214.0,10.0,0.0,275.0,5.0,0.0,323.6,14.0,0.0,267.07,0.0,,0.0,214.0,0,2025-04-08
2025-04-08 06:30:00,April,8,2025-04-08 06:30:00,93.75,16.0,0.0,0.0,299.69,6,1,4,13,11.0,0.0,221.0,0.0,0.0,214.0,13.0,0.0,226.77,11.0,0.0,237.45,28.0,0.0,307.25,3.6666666666666665,,0.0,216.33333333333334,0,2025-04-08
2025-04-08 07:00:00,April,8,2025-04-08 07:00:00,100.0,24.0,0.0,0.0,213.88,7,1,4,14,16.0,0.0,299.69,11.0,0.0,221.0,21.0,0.0,316.38,9.0,0.0,383.33,30.0,0.03333333333333333,244.93,9.0,,0.0,244.89666666666668,0,2025-04-08
2025-04-08 07:30:00,April,8,2025-04-08 07:30:00,100.0,63.0,0.0,0.0,276.35,7,1,4,15,24.0,0.0,213.88,16.0,0.0,299.69,38.0,0.0,219.79,13.0,0.0,310.38,64.0,0.0,248.38,17.0,,0.0,244.85666666666665,0,2025-04-08
2025-04-08 08:00:00,April,8,2025-04-08 08:00:00,99.2,126.0,1.0,7.936507936507937e-05,289.98,8,1,4,16,63.0,0.0,276.35,24.0,0.0,213.88,97.0,0.0,253.32,33.0,0.0,259.61,104.0,0.009615384615384616,276.15,34.333333333333336,,0.0,263.3066666666667,0,2025-04-08
2025-04-08 08:30:00,April,8,2025-04-08 08:30:00,100.0,177.0,0.0,0.0,294.37,8,1,4,17,126.0,0.007936507936507936,289.98,63.0,0.0,276.35,167.0,0.0,280.38,48.0,0.0,326.77,175.0,0.005714285714285714,242.67,71.0,,0.0026455026455026454,260.07,0,2025-04-08
2025-04-08 09:00:00,April,8,2025-04-08 09:00:00,100.0,267.0,0.0,0.0,273.21,9,1,4,18,177.0,0.0,294.37,126.0,0.007936507936507936,289.98,247.0,0.008097165991902834,299.06,86.0,0.0,255.93,263.0,0.0,281.82,122.0,,0.0026455026455026454,286.90000000000003,0,2025-04-08
2025-04-08 09:30:00,April,8,2025-04-08 09:30:00,99.03,312.0,2.0,6.41025641025641e-05,300.96,9,1,4,19,267.0,0.0,273.21,177.0,0.0,294.37,314.0,0.0031847133757961785,299.53,121.0,0.0,306.84,331.0,0.00906344410876133,279.69,190.0,,0.0026455026455026454,285.8533333333333,0,2025-04-08
2025-04-08 10:00:00,April,8,2025-04-08 10:00:00,94.97,403.0,5.0,0.00012406947890818859,303.47,10,1,4,20,312.0,0.00641025641025641,300.96,267.0,0.0,273.21,395.0,0.007594936708860759,313.64,133.0,0.0,285.7,358.0,0.00558659217877095,292.06,252.0,,0.0021367521367521365,289.5133333333333,0,2025-04-08
2025-04-08 10:30:00,April,8,2025-04-08 10:30:00,95.73,379.0,4.0,0.00010554089709762532,293.77,10,1,4,21,403.0,0.01240694789081886,303.47,312.0,0.00641025641025641,300.96,434.0,0.009216589861751152,295.9,157.0,0.05732484076433121,308.89,460.0,0.006521739130434782,313.13,327.3333333333333,,0.0062724014336917565,292.5466666666667,0,2025-04-08
2025-04-08 11:00:00,April,8,2025-04-08 11:00:00,91.71,423.0,1.0,2.364066193853428e-05,337.63,11,1,4,22,379.0,0.010554089709762533,293.77,403.0,0.01240694789081886,303.47,495.0,0.00404040404040404,316.94,191.0,0.005235602094240838,289.61,441.0,0.02947845804988662,324.51,364.6666666666667,,0.009790431336945933,299.40000000000003,0,2025-04-08
