timestamp,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,hour,day_of_week,month_num,interval_index,cv_lag_1,abd_lag_1,cct_lag_1,cv_lag_2,abd_lag_2,cct_lag_2,cv_lag_48,abd_lag_48,cct_lag_48,cv_lag_96,abd_lag_96,cct_lag_96,cv_lag_336,abd_lag_336,cct_lag_336,cv_roll_mean_3,cv_roll_mean_48,abd_roll_mean_3,cct_roll_mean_3,is_weekend,date,staffing
2025-04-08 00:00:00,April,8,2025-04-08 00:00:00,100.0,51.0,0.0,0.0,296.73,0,1,4,0,75.0,0.0,363.63,86.0,0.0,341.45,34.0,0.0,224.94,34.0,0.0294117647058823,268.97,30.0,0.0,306.0,,,,,0,2025-04-08,168
2025-04-08 00:30:00,April,8,2025-04-08 00:30:00,100.0,29.0,0.0,0.0,346.83,0,1,4,1,51.0,0.0,296.73,75.0,0.0,363.63,25.0,0.0,258.24,24.0,0.0,325.46,29.0,0.0,353.14,,,,,0,2025-04-08,168
2025-04-08 01:00:00,April,8,2025-04-08 01:00:00,100.0,25.0,0.0,0.0,372.52,1,1,4,2,29.0,0.0,346.83,51.0,0.0,296.73,15.0,0.0,376.07,17.0,0.0588235294117647,392.56,25.0,0.0,373.76,,,,,0,2025-04-08,168
2025-04-08 01:30:00,April,8,2025-04-08 01:30:00,100.0,20.0,0.0,0.0,340.65,1,1,4,3,25.0,0.0,372.52,29.0,0.0,346.83,9.0,0.0,517.11,16.0,0.0,350.88,9.0,0.0,364.44,35.0,,0.0,338.6933333333333,0,2025-04-08,168
2025-04-08 02:00:00,April,8,2025-04-08 02:00:00,100.0,12.0,0.0,0.0,187.25,2,1,4,4,20.0,0.0,340.65,25.0,0.0,372.52,10.0,0.0,319.6,7.0,0.0,430.71,4.0,0.0,276.25,24.666666666666668,,0.0,353.3333333333333,0,2025-04-08,168
2025-04-08 02:30:00,April,8,2025-04-08 02:30:00,100.0,11.0,0.0,0.0,357.0,2,1,4,5,12.0,0.0,187.25,20.0,0.0,340.65,8.0,0.0,271.25,8.0,0.0,303.13,9.0,0.0,300.78,19.0,,0.0,300.14000000000004,0,2025-04-08,168
2025-04-08 03:00:00,April,8,2025-04-08 03:00:00,100.0,2.0,0.0,0.0,214.0,3,1,4,6,11.0,0.0,357.0,12.0,0.0,187.25,6.0,0.1666666666666666,351.6,2.0,0.5,261.0,3.0,0.0,218.33,14.333333333333334,,0.0,294.9666666666667,0,2025-04-08,168
2025-04-08 03:30:00,April,8,2025-04-08 03:30:00,100.0,0.0,0.0,0.0,214.0,3,1,4,7,2.0,0.0,214.0,11.0,0.0,357.0,2.0,0.0,229.0,0.0,0.0,261.0,0.0,0.0,218.33,8.333333333333334,,0.0,252.75,0,2025-04-08,168
2025-04-08 04:00:00,April,8,2025-04-08 04:00:00,100.0,0.0,0.0,0.0,214.0,4,1,4,8,0.0,0.0,214.0,2.0,0.0,214.0,2.0,0.0,123.0,0.0,0.0,261.0,0.0,0.0,218.33,4.333333333333333,,0.0,261.6666666666667,0,2025-04-08,168
2025-04-08 04:30:00,April,8,2025-04-08 04:30:00,100.0,0.0,0.0,0.0,214.0,4,1,4,9,0.0,0.0,214.0,0.0,0.0,214.0,2.0,0.0,158.0,0.0,0.0,261.0,0.0,0.0,218.33,0.6666666666666666,,0.0,214.0,0,2025-04-08,168
