timestamp,Month,Day,Interval,Service Level,Call Volume,Abandoned Calls,Abandoned Rate,CCT,hour,day_of_week,month_num,interval_index,is_weekend
2025-04-08 00:00:00,April,8,2025-04-08 00:00:00,100.0,51.0,0.0,0.0,296.73,0,1,4,0,0
2025-04-08 00:30:00,April,8,2025-04-08 00:30:00,100.0,29.0,0.0,0.0,346.83,0,1,4,1,0
2025-04-08 01:00:00,April,8,2025-04-08 01:00:00,100.0,25.0,0.0,0.0,372.52,1,1,4,2,0
2025-04-08 01:30:00,April,8,2025-04-08 01:30:00,100.0,20.0,0.0,0.0,340.65,1,1,4,3,0
2025-04-08 02:00:00,April,8,2025-04-08 02:00:00,100.0,12.0,0.0,0.0,187.25,2,1,4,4,0
2025-04-08 02:30:00,April,8,2025-04-08 02:30:00,100.0,11.0,0.0,0.0,357.0,2,1,4,5,0
2025-04-08 03:00:00,April,8,2025-04-08 03:00:00,100.0,2.0,0.0,0.0,214.0,3,1,4,6,0
2025-04-08 03:30:00,April,8,2025-04-08 03:30:00,100.0,0.0,0.0,0.0,214.0,3,1,4,7,0
2025-04-08 04:00:00,April,8,2025-04-08 04:00:00,100.0,0.0,0.0,0.0,214.0,4,1,4,8,0
2025-04-08 04:30:00,April,8,2025-04-08 04:30:00,100.0,0.0,0.0,0.0,214.0,4,1,4,9,0
2025-04-08 05:00:00,April,8,2025-04-08 05:00:00,100.0,0.0,0.0,0.0,214.0,5,1,4,10,0
2025-04-08 05:30:00,April,8,2025-04-08 05:30:00,100.0,0.0,0.0,0.0,214.0,5,1,4,11,0
2025-04-08 06:00:00,April,8,2025-04-08 06:00:00,100.0,11.0,0.0,0.0,221.0,6,1,4,12,0
2025-04-08 06:30:00,April,8,2025-04-08 06:30:00,93.75,16.0,0.0,0.0,299.69,6,1,4,13,0
2025-04-08 07:00:00,April,8,2025-04-08 07:00:00,100.0,24.0,0.0,0.0,213.88,7,1,4,14,0
2025-04-08 07:30:00,April,8,2025-04-08 07:30:00,100.0,63.0,0.0,0.0,276.35,7,1,4,15,0
2025-04-08 08:00:00,April,8,2025-04-08 08:00:00,99.2,126.0,1.0,7.936507936507937e-05,289.98,8,1,4,16,0
2025-04-08 08:30:00,April,8,2025-04-08 08:30:00,100.0,177.0,0.0,0.0,294.37,8,1,4,17,0
2025-04-08 09:00:00,April,8,2025-04-08 09:00:00,100.0,267.0,0.0,0.0,273.21,9,1,4,18,0
2025-04-08 09:30:00,April,8,2025-04-08 09:30:00,99.03,312.0,2.0,6.41025641025641e-05,300.96,9,1,4,19,0
2025-04-08 10:00:00,April,8,2025-04-08 10:00:00,94.97,403.0,5.0,0.0001240694789081,303.47,10,1,4,20,0
2025-04-08 10:30:00,April,8,2025-04-08 10:30:00,95.73,379.0,4.0,0.0001055408970976,293.77,10,1,4,21,0
2025-04-08 11:00:00,April,8,2025-04-08 11:00:00,91.71,423.0,1.0,2.364066193853428e-05,337.63,11,1,4,22,0
2025-04-08 11:30:00,April,8,2025-04-08 11:30:00,91.81,482.0,6.0,0.0001244813278008,327.05,11,1,4,23,0
2025-04-08 12:00:00,April,8,2025-04-08 12:00:00,99.35,459.0,0.0,0.0,321.99,12,1,4,24,0
2025-04-08 12:30:00,April,8,2025-04-08 12:30:00,95.34,516.0,1.0,1.937984496124031e-05,311.04,12,1,4,25,0
2025-04-08 13:00:00,April,8,2025-04-08 13:00:00,86.46,522.0,5.0,9.57854406130268e-05,324.34,13,1,4,26,0
2025-04-08 13:30:00,April,8,2025-04-08 13:30:00,77.94,490.0,5.0,0.0001020408163265,336.01,13,1,4,27,0
2025-04-08 14:00:00,April,8,2025-04-08 14:00:00,89.54,536.0,10.0,0.0001865671641791,342.15,14,1,4,28,0
2025-04-08 14:30:00,April,8,2025-04-08 14:30:00,86.99,517.0,2.0,3.868471953578336e-05,320.53,14,1,4,29,0
2025-04-08 15:00:00,April,8,2025-04-08 15:00:00,99.37,478.0,1.0,2.0920502092050207e-05,324.08,15,1,4,30,0
2025-04-08 15:30:00,April,8,2025-04-08 15:30:00,89.39,543.0,6.0,0.000110497237569,313.73,15,1,4,31,0
2025-04-08 16:00:00,April,8,2025-04-08 16:00:00,90.23,573.0,0.0,0.0,328.59,16,1,4,32,0
2025-04-08 16:30:00,April,8,2025-04-08 16:30:00,99.4,501.0,2.0,3.992015968063872e-05,339.8,16,1,4,33,0
2025-04-08 17:00:00,April,8,2025-04-08 17:00:00,99.39,488.0,0.0,0.0,323.73,17,1,4,34,0
2025-04-08 17:30:00,April,8,2025-04-08 17:30:00,99.56,451.0,0.0,0.0,359.57,17,1,4,35,0
2025-04-08 18:00:00,April,8,2025-04-08 18:00:00,94.32,409.0,4.0,9.7799511002445e-05,322.52,18,1,4,36,0
2025-04-08 18:30:00,April,8,2025-04-08 18:30:00,96.94,360.0,0.0,0.0,351.08,18,1,4,37,0
2025-04-08 19:00:00,April,8,2025-04-08 19:00:00,96.24,354.0,8.0,0.0002259887005649,315.67,19,1,4,38,0
2025-04-08 19:30:00,April,8,2025-04-08 19:30:00,90.44,298.0,5.0,0.0001677852348993,371.12,19,1,4,39,0
2025-04-08 20:00:00,April,8,2025-04-08 20:00:00,98.12,268.0,2.0,7.462686567164179e-05,338.14,20,1,4,40,0
2025-04-08 20:30:00,April,8,2025-04-08 20:30:00,99.54,216.0,0.0,0.0,316.68,20,1,4,41,0
2025-04-08 21:00:00,April,8,2025-04-08 21:00:00,98.34,184.0,3.0,0.0001630434782608,353.12,21,1,4,42,0
2025-04-08 21:30:00,April,8,2025-04-08 21:30:00,97.65,170.0,0.0,0.0,318.94,21,1,4,43,0
2025-04-08 22:00:00,April,8,2025-04-08 22:00:00,100.0,128.0,0.0,0.0,338.39,22,1,4,44,0
2025-04-08 22:30:00,April,8,2025-04-08 22:30:00,100.0,110.0,1.0,9.09090909090909e-05,296.9,22,1,4,45,0
2025-04-08 23:00:00,April,8,2025-04-08 23:00:00,100.0,81.0,1.0,0.0001234567901234,283.79,23,1,4,46,0
2025-04-08 23:30:00,April,8,2025-04-08 23:30:00,100.0,74.0,0.0,0.0,333.34,23,1,4,47,0
2025-04-09 00:00:00,April,9,2025-04-09 00:00:00,98.0,51.0,1.0,0.0001960784313725,220.56,0,2,4,0,0
2025-04-09 00:30:00,April,9,2025-04-09 00:30:00,100.0,34.0,1.0,0.0002941176470588,335.76,0,2,4,1,0
2025-04-09 01:00:00,April,9,2025-04-09 01:00:00,100.0,25.0,0.0,0.0,272.76,1,2,4,2,0
2025-04-09 01:30:00,April,9,2025-04-09 01:30:00,100.0,20.0,0.0,0.0,367.3,1,2,4,3,0
2025-04-09 02:00:00,April,9,2025-04-09 02:00:00,100.0,9.0,0.0,0.0,347.44,2,2,4,4,0
2025-04-09 02:30:00,April,9,2025-04-09 02:30:00,100.0,9.0,0.0,0.0,352.89,2,2,4,5,0
2025-04-09 03:00:00,April,9,2025-04-09 03:00:00,100.0,3.0,0.0,0.0,483.0,3,2,4,6,0
2025-04-09 03:30:00,April,9,2025-04-09 03:30:00,100.0,0.0,0.0,0.0,483.0,3,2,4,7,0
2025-04-09 04:00:00,April,9,2025-04-09 04:00:00,100.0,0.0,0.0,0.0,483.0,4,2,4,8,0
2025-04-09 04:30:00,April,9,2025-04-09 04:30:00,100.0,1.0,0.0,0.0,387.0,4,2,4,9,0
2025-04-09 05:00:00,April,9,2025-04-09 05:00:00,100.0,1.0,0.0,0.0,280.0,5,2,4,10,0
2025-04-09 05:30:00,April,9,2025-04-09 05:30:00,100.0,1.0,0.0,0.0,36.0,5,2,4,11,0
2025-04-09 06:00:00,April,9,2025-04-09 06:00:00,100.0,13.0,0.0,0.0,201.54,6,2,4,12,0
